Slept,Got up,Rating
23:30,5:00,4
11:45,12:10,4.5
23:00,5:00,3
6:05,9:05,5
14:25,15:50,4.5
23:40,5:00,3.5
8:00,9:15,3
23:05,5:00,4
7:40,8:20,3.5
23:00,5:00,2.5
7:05,9:30,3.5
0:15,5:00,4
5:40,6:30,4.5
7:50,9:20,3.5
23:10,5:00,5
23:15,5:00,4.5
16:10,17:30,5
0:05,5:00,4
23:05,5:00,4
23:59,4:59,4.5
13:00,13:17,4.5
22:44,4:57,3
13:20,13:40,5
0:06,4:58,2
23:45,5:00,4
0:05,5:00,4.5
15:00,16:45,4
1:10,5:00,5
14:50,17:10,3.5
22:50,5:00,5
1:15,5:00,4.5
23:15,4:55,3
6:15,6:35,3.5
12:10,13:10,3
20:30,4:55,5
23:10,5:05,3.5
0:20,5:00,3
16:55,18:00,5
0:50,5:00,3.5
13:25,14:05,5
0:42,4:57,4
12:40,12:59,4.5
23:05,5:00,3.5
23:45,4:58,2
22:25,8:40,5
22:40,8:10,5
23:10,4:57,4.5
5:50,8:45,4.5
23:20,4:57,4.5
0:00,4:59,3
8:00,8:30,3
23:40,4:59,5
13:40,14:00,5
23:39,5:00,5
13:40,14:00,4.5
0:11,4:59,4
23:20,4:59,3
14:35,16:40,3
23:05,4:58,4.5
21:45,5:00,3.5
13:40,14:00,4.5
0:43,4:53,4
13:32,13:50,5
22:40,4:59,3.5
11:06,13:22,5
23:35,4:59,5
22:35,5:00,4.5
23:35,4:58,4
0:30,4:55,5
13:00,13:15,3
22:05,4:59,3.5
13:41,14:00,5
23:40,4:55,4
22:30,4:57,4.5
23:15,4:58,4
7:55,9:30,4.5
22:45,4:58,4.5
22:55,4:59,4
12:25,13:35,5
23:15,5:08,5
8:10,10:15,4.5
12:00,14:15,5
22:45,7:00,5
8:35,9:10,4.5
23:25,4:58,4.5
23:25,4:58,4.5
23:15,4:58,5
7:10,9:20,4.5
23:40,4:59,5
21:40,4:50,4.5
23:15,5:00,4
6:05,9:20,5
23:15,4:59,4.5
0:15,4:59,3.5
6:05,6:55,4
22:55,5:00,4.5
23:05,5:00,4
12:49,13:09,4.5
23:50,5:00,4
12:49,13:09,4.5
21:45,4:59,5
13:35,14:00,4
22:50,4:55,5
6:20,7:20,3.5
7:50,10:20,5
0:00,4:59,4.5
8:30,9:20,4
23:55,4:58,5
6:01,6:50,4.5
22:55,4:59,3.5
23:30,9:10,4.5
22:46,4:59,4.5
23:57,4:57,4.5
8:02,8:30,5
23:30,9:00,5
18:30,22:00,4.5
0:15,10:00,3.5
4:30,11:15,5
23:35,4:58,5
23:36,5:00,3.5
8:17,9:37,4.5
23:06,4:57,3.5
8:20,9:20,4.5
22:40,4:58,5
22:22,4:58,5
9:30,10:30,5
23:10,6:35,3.5
8:00,9:00,5
23:20,8:15,5
0:15,8:45,5
22:45,4:57,4
5:38,7:00,4.5
22:28,5:00,5
23:30,6:10,3
6:25,7:18,5
17:20,18:20,4.5
23:30,6:06,5
22:55,6:00,4.5
23:55,5:45,5
23:00,7:30,4
22:50,8:50,3.5
22:31,4:58,5
8:15,9:15,3
23:50,7:05,3.5
16:00,17:15,4.5
2:45,8:50,5
1:30,6:30,4
7:45,9:15,3
1:00,6:30,4.5
9:06,9:42,5
23:05,5:55,4
8:50,9:35,4
0:20,5:35,3.5
8:50,9:35,4
0:05,5:45,4.5
7:50,9:30,4.5
0:55,5:28,4.5
23:00,6:30,4.5
16:00,17:20,4.5
0:20,5:40,4.5
18:30,20:00,4
0:50,5:50,4
0:15,5:25,5
6:15,8:50,4
0:05,5:28,4.5
8:30,9:05,5
